格式化站点编号,站点名称,等价站点,线路名称,线路方向,单程序号,经度,纬度,在主城区
011_U_06,市教育局,"['006_U_28', '017_U_28', '011_U_07', '017_U_27']",11,上行,6,117.968788,37.389808,True
011_U_07,滨化家园,"['011_U_08', '011_U_06', '017_U_27', '102_U_13', '112_U_14', '017_U_28']",11,上行,7,117.968491,37.387151,True
011_U_08,市档案馆,"['102_U_13', '112_U_14', '011_U_09', '011_U_07', '017_U_28']",11,上行,8,117.968299,37.384425,True
011_U_09,市政大楼西门,"['011_U_08', '102_U_13', '112_U_14', '011_U_10', '030_U_28']",11,上行,9,117.96808,37.382791,True
011_U_10,传媒集团,"['107_U_12', '030_U_28', '107_U_11', '011_U_09']",11,上行,10,117.967696,37.378893,True
011_U_11,至尊门第西门,"['009_U_37', '107_U_11', '107_U_12']",11,上行,11,117.967286,37.374499,True
011_U_12,市委党校西门,"['010_U_40', '009_U_37', '010_U_41']",11,上行,12,117.966876,37.370256,True
011_U_14,泰山名郡,"['111_U_02', '011_U_15', '012_U_32']",11,上行,14,117.974993,37.363072,True
011_U_15,双湖家园,"['111_D_33', '011_U_16', '012_U_32', '011_U_14']",11,上行,15,117.977973,37.363889,True
011_U_16,碧林花园南门,"['111_U_02', '011_U_15', '111_D_33', '012_U_32']",11,上行,16,117.978331,37.365994,True
011_U_17,彩虹湖,['009_U_38'],11,上行,17,117.981209,37.37077,True
011_U_30,郝家便民市场,"['106_U_36', '001_U_34', '001_D_02', '006_U_44']",11,上行,30,118.03036,37.375409,True
011_D_37,滨州植物园,"['011_U_04', '011_U_05']",11,下行,37,117.969741,37.396937,True
012_U_12,公交总公司,"['005_U_57', '113_U_29', '012_U_13', '001_U_27']",12,上行,12,118.020165,37.407793,True
012_U_13,新贵公馆,"['012_U_12', '007_U_07', '005_U_58']",12,上行,13,118.01709,37.405342,True
012_U_30,彩虹景苑,['009_U_39'],12,上行,30,117.984871,37.36857,True
012_U_32,亚太商贸街,"['111_U_02', '011_U_15', '011_U_16', '011_U_14']",12,上行,32,117.976177,37.366053,True
016_U_03,胜利油建七分公司,[],16,上行,3,117.936253,37.34978,True
016_U_04,鲁德曲轴,[],16,上行,4,117.932722,37.352944,True
016_U_05,中油燃气,['016_U_06'],16,上行,5,117.926352,37.352876,True
016_U_06,一汽大众,['016_U_05'],16,上行,6,117.924064,37.355658,True
016_U_07,拉菲公馆,[],16,上行,7,117.924082,37.361256,True
016_U_08,熙悦府,[],16,上行,8,117.929824,37.36298,True
