格式化上车站点编号,格式化下车站点编号,一天内刷卡数
001_D_05,001_D_03,5
001_D_05,001_D_04,30
001_D_05,001_D_05,2
001_D_05,001_D_06,16
001_D_05,001_D_08,6
001_D_05,001_U_03,1
001_D_05,001_U_12,5
001_D_05,001_U_13,2
001_D_05,001_U_14,3
001_D_05,001_U_15,1
001_D_05,001_U_16,1
001_D_05,001_U_17,1
001_D_05,001_U_23,3
001_D_05,001_U_24,2
001_D_05,001_U_25,1
001_D_05,001_U_26,7
001_D_05,001_U_27,1
001_D_05,001_U_29,3
001_D_05,001_U_30,1
001_D_05,001_U_34,3
001_D_05,002_U_27,1
001_D_05,002_U_30,8
001_D_05,002_U_31,2
001_D_05,002_U_32,3
001_D_05,002_U_43,6
001_D_05,003_U_01,3
001_D_05,003_U_05,1
001_D_05,003_U_07,3
001_D_05,004_U_12,9
001_D_05,004_U_13,1
001_D_05,004_U_14,3
001_D_05,004_U_15,1
001_D_05,004_U_16,2
001_D_05,004_U_18,3
001_D_05,004_U_27,7
001_D_05,004_U_31,2
001_D_05,004_U_32,2
001_D_05,005_U_58,4
001_D_05,005_U_64,20
001_D_05,005_U_71,1
001_D_05,006_U_22,2
001_D_05,006_U_29,1
001_D_05,006_U_30,1
001_D_05,006_U_31,4
001_D_05,006_U_32,1
001_D_05,006_U_38,3
001_D_05,006_U_40,1
001_D_05,006_U_41,1
001_D_05,006_U_44,2
001_D_05,007_U_01,4
001_D_05,007_U_02,1
001_D_05,007_U_04,1
001_D_05,007_U_07,4
001_D_05,007_U_09,27
001_D_05,007_U_15,10
001_D_05,007_U_16,1
001_D_05,007_U_18,3
001_D_05,007_U_19,2
001_D_05,009_U_28,2
001_D_05,009_U_30,3
001_D_05,009_U_35,1
001_D_05,009_U_40,1
001_D_05,009_U_41,3
001_D_05,009_U_42,2
001_D_05,009_U_43,4
001_D_05,009_U_44,5
001_D_05,009_U_45,3
001_D_05,009_U_46,2
001_D_05,009_U_47,5
001_D_05,010_U_25,2
001_D_05,010_U_27,1
001_D_05,010_U_31,1
001_D_05,010_U_32,1
001_D_05,010_U_33,1
001_D_05,011_U_10,1
001_D_05,011_U_14,1
001_D_05,011_U_16,5
001_D_05,012_U_07,2
001_D_05,012_U_13,3
001_D_05,012_U_32,7
001_D_05,016_U_10,10
001_D_05,017_U_18,1
001_D_05,017_U_27,3
001_D_05,017_U_28,3
001_D_05,017_U_29,1
001_D_05,017_U_30,1
001_D_05,017_U_37,2
001_D_05,018_U_01,3
001_D_05,018_U_04,2
001_D_05,018_U_06,1
001_D_05,018_U_12,1
001_D_05,018_U_19,1
001_D_05,020_U_05,1
001_D_05,020_U_15,3
001_D_05,020_U_27,1
001_D_05,022_U_02,5
001_D_05,022_U_03,1
001_D_05,022_U_09,1
001_D_05,022_U_12,2
001_D_05,022_U_13,3
001_D_05,022_U_16,2
001_D_05,022_U_18,3
001_D_05,022_U_20,4
001_D_05,022_U_32,1
001_D_05,022_U_40,9
001_D_05,022_U_42,2
001_D_05,023_U_06,1
001_D_05,023_U_28,2
001_D_05,024_U_12,1
001_D_05,025_U_26,1
001_D_05,025_U_30,2
001_D_05,026_U_45,6
001_D_05,026_U_46,1
001_D_05,028_U_03,1
001_D_05,028_U_07,2
001_D_05,029_U_16,1
001_D_05,029_U_19,1
001_D_05,030_U_24,4
001_D_05,030_U_26,1
001_D_05,030_U_33,2
001_D_05,030_U_35,1
001_D_05,030_U_38,1
001_D_05,030_U_39,3
001_D_05,030_U_41,4
001_D_05,032_U_21,1
001_D_05,033_U_18,2
001_D_05,033_U_19,16
001_D_05,101_U_23,9
001_D_05,101_U_24,3
001_D_05,101_U_25,4
001_D_05,102_U_28,1
001_D_05,103_U_08,2
001_D_05,103_U_09,4
001_D_05,103_U_31,3
001_D_05,105_U_23,1
001_D_05,106_U_09,2
001_D_05,106_U_26,3
001_D_05,106_U_27,2
001_D_05,111_D_33,2
001_D_05,112_U_26,1
001_D_06,001_D_02,2
001_D_06,001_D_05,20
001_D_06,001_D_07,3
001_D_06,001_D_08,3
001_D_06,001_U_03,1
001_D_06,001_U_10,2
001_D_06,001_U_12,1
001_D_06,001_U_14,1
001_D_06,001_U_15,1
001_D_06,001_U_21,1
001_D_06,001_U_25,2
001_D_06,001_U_26,1
001_D_06,001_U_28,2
001_D_06,001_U_30,1
001_D_06,002_U_30,6
001_D_06,002_U_31,4
001_D_06,002_U_32,2
001_D_06,002_U_43,1
001_D_06,003_U_06,2
001_D_06,004_U_12,5
001_D_06,004_U_13,1
001_D_06,004_U_14,3
001_D_06,004_U_18,3
001_D_06,004_U_28,1
001_D_06,005_U_58,2
001_D_06,005_U_64,2
001_D_06,005_U_71,1
001_D_06,006_U_08,1
001_D_06,006_U_09,1
001_D_06,006_U_30,1
001_D_06,006_U_40,2
001_D_06,006_U_44,1
001_D_06,007_U_04,2
001_D_06,007_U_07,1
001_D_06,007_U_08,1
001_D_06,007_U_09,5
001_D_06,007_U_15,11
001_D_06,007_U_16,2
001_D_06,007_U_17,1
001_D_06,007_U_18,3
001_D_06,009_U_31,2
001_D_06,009_U_38,1
001_D_06,009_U_39,1
001_D_06,009_U_40,2
001_D_06,009_U_43,3
001_D_06,009_U_44,6
001_D_06,009_U_45,3
001_D_06,009_U_47,1
001_D_06,011_U_16,1
001_D_06,012_U_32,3
001_D_06,016_U_08,1
001_D_06,016_U_10,2
001_D_06,017_U_27,2
001_D_06,017_U_28,1
001_D_06,017_U_37,3
001_D_06,018_U_10,1
001_D_06,018_U_35,1
001_D_06,020_U_27,1
001_D_06,022_U_03,1
001_D_06,022_U_16,1
001_D_06,022_U_19,1
001_D_06,022_U_22,1
001_D_06,022_U_24,1
001_D_06,022_U_26,2
001_D_06,022_U_32,2
001_D_06,022_U_40,2
001_D_06,023_U_28,3
001_D_06,025_U_31,1
001_D_06,029_U_16,1
001_D_06,030_U_03,2
001_D_06,030_U_17,2
001_D_06,030_U_30,2
001_D_06,030_U_31,2
001_D_06,030_U_38,1
001_D_06,030_U_41,4
001_D_06,030_U_45,2
001_D_06,036_U_08,1
001_D_06,103_U_08,1
001_D_06,105_U_23,1
001_D_06,106_U_10,1
001_D_06,106_U_11,1
001_D_06,106_U_12,2
001_D_06,106_U_13,1
001_D_06,106_U_15,1
001_D_06,106_U_26,1
001_D_06,106_U_27,2
001_D_06,111_U_05,1
001_D_07,001_D_05,4
001_D_07,001_D_06,1
001_D_07,001_D_08,1
001_D_07,001_U_03,3
001_D_07,001_U_04,1
001_D_07,001_U_13,1
001_D_07,001_U_15,8
001_D_07,001_U_21,2
001_D_07,001_U_24,1
001_D_07,001_U_26,1
001_D_07,001_U_29,1
001_D_07,001_U_30,1
001_D_07,001_U_34,1
001_D_07,004_U_07,1
001_D_07,007_U_15,4
001_D_07,009_U_33,1
001_D_07,009_U_43,2
001_D_07,009_U_44,2
001_D_07,016_U_08,2
001_D_07,016_U_10,1
001_D_07,018_U_34,1
001_D_07,018_U_35,1
001_D_07,020_U_16,2
001_D_07,020_U_27,2
001_D_08,001_D_06,5
001_D_08,001_D_07,4
001_D_08,001_U_10,1
001_D_08,001_U_12,1
001_D_08,001_U_14,1
001_D_08,001_U_15,4
001_D_08,001_U_19,1
001_D_08,001_U_26,3
001_D_08,004_U_15,2
001_D_08,007_U_15,1
001_D_08,009_U_43,1
001_D_08,020_U_05,1
001_D_08,111_U_35,2
001_U_01,001_U_19,3
001_U_01,001_U_25,2
001_U_01,001_U_26,1
001_U_01,001_U_27,1
001_U_01,001_U_29,1
001_U_01,001_U_30,1
001_U_01,001_U_31,1
001_U_01,001_U_34,3
001_U_03,001_U_31,1
001_U_03,001_U_32,1
001_U_03,001_U_34,1
001_U_04,001_U_19,1
001_U_04,001_U_34,1
001_U_05,001_U_03,1
001_U_05,001_U_07,5
001_U_05,001_U_24,1
001_U_05,001_U_25,2
001_U_05,001_U_29,1
001_U_05,001_U_34,3
001_U_05,008_U_01,1
001_U_06,001_U_34,4
001_U_07,001_U_25,1
001_U_07,001_U_31,1
001_U_08,001_U_07,1
001_U_08,001_U_10,1
001_U_08,001_U_23,1
001_U_08,001_U_24,1
001_U_08,001_U_25,1
001_U_08,001_U_27,9
001_U_08,001_U_34,3
001_U_09,001_U_11,1
001_U_09,001_U_16,1
001_U_09,001_U_22,1
001_U_09,001_U_25,5
001_U_09,001_U_27,1
001_U_09,001_U_29,3
001_U_09,001_U_31,2
001_U_09,001_U_34,9
001_U_10,001_U_11,1
001_U_10,001_U_22,1
001_U_10,001_U_24,1
001_U_10,001_U_27,1
001_U_10,001_U_29,1
001_U_10,001_U_30,2
001_U_10,001_U_31,1
001_U_10,001_U_34,3
001_U_11,001_U_03,1
001_U_11,001_U_07,1
001_U_11,001_U_08,1
001_U_11,001_U_19,1
001_U_11,001_U_20,1
001_U_11,001_U_24,2
001_U_11,001_U_25,3
001_U_11,001_U_27,1
001_U_11,001_U_30,1
001_U_11,001_U_31,4
001_U_11,001_U_32,1
001_U_11,001_U_34,1
001_U_12,001_U_19,1
001_U_12,001_U_22,1
001_U_12,001_U_24,2
001_U_12,001_U_25,7
001_U_12,001_U_27,2
001_U_12,001_U_30,3
001_U_12,001_U_31,3
001_U_12,001_U_34,4
001_U_12,002_U_13,1
001_U_12,002_U_25,2
001_U_12,002_U_27,1
001_U_12,002_U_28,1
001_U_12,002_U_32,1
001_U_12,002_U_34,2
001_U_13,001_U_10,1
001_U_13,001_U_14,1
001_U_13,001_U_19,1
001_U_13,001_U_23,1
001_U_13,001_U_24,2
001_U_13,001_U_25,3
001_U_13,001_U_27,6
001_U_13,001_U_30,2
001_U_13,001_U_31,3
001_U_13,001_U_34,2
001_U_14,001_U_13,1
001_U_14,001_U_20,2
001_U_14,001_U_25,1
001_U_14,001_U_31,1
001_U_14,001_U_34,1
001_U_14,005_U_42,1
001_U_14,021_U_15,1
001_U_14,021_U_21,1
001_U_15,001_U_03,1
001_U_15,001_U_14,1
001_U_15,001_U_25,1
001_U_15,001_U_34,1
001_U_15,009_U_46,1
001_U_16,001_U_20,1
001_U_16,001_U_25,1
001_U_16,001_U_30,2
001_U_16,001_U_31,1
001_U_16,001_U_34,1
001_U_16,002_U_30,1
001_U_16,002_U_42,1
001_U_17,001_U_12,1
001_U_18,001_U_24,1
001_U_18,001_U_25,1
001_U_18,001_U_27,3
001_U_18,001_U_29,1
001_U_18,001_U_30,1
001_U_18,001_U_34,3
001_U_18,006_U_30,1
001_U_18,016_U_10,1
001_U_18,024_U_17,1
001_U_18,112_D_07,1
001_U_19,001_U_20,1
001_U_19,001_U_27,1
001_U_19,001_U_30,1
001_U_20,001_U_03,2
001_U_20,001_U_15,1
001_U_20,001_U_19,2
001_U_20,001_U_21,4
001_U_20,001_U_22,1
001_U_20,001_U_23,1
001_U_20,001_U_24,1
001_U_20,001_U_25,6
001_U_20,001_U_27,5
001_U_20,001_U_29,3
001_U_20,001_U_30,3
001_U_20,001_U_31,5
001_U_20,001_U_32,3
001_U_20,001_U_33,2
001_U_20,001_U_34,19
001_U_20,002_U_25,1
001_U_20,002_U_28,1
001_U_20,002_U_30,2
001_U_20,002_U_33,2
001_U_20,009_U_44,2
001_U_20,024_U_17,2
001_U_20,111_U_35,1
001_U_20,112_U_05,1
001_U_21,001_U_14,2
001_U_21,001_U_15,2
001_U_21,001_U_17,1
001_U_21,001_U_20,3
001_U_21,005_U_11,1
001_U_21,005_U_17,1
001_U_21,005_U_20,1
001_U_21,005_U_21,2
001_U_21,005_U_23,1
001_U_21,005_U_25,1
001_U_21,009_U_03,1
001_U_22,001_U_12,1
001_U_22,001_U_13,1
001_U_22,001_U_15,1
001_U_22,001_U_25,2
001_U_22,002_U_29,1
001_U_22,004_U_12,1
001_U_22,015_U_06,1
001_U_22,017_U_23,1
001_U_22,018_U_35,1
001_U_23,001_U_10,1
001_U_23,001_U_12,2
001_U_23,001_U_15,1
001_U_23,001_U_21,1
001_U_23,001_U_25,2
001_U_23,001_U_29,1
001_U_23,002_U_35,1
001_U_23,002_U_37,1
001_U_23,005_U_04,1
001_U_23,005_U_25,3
001_U_23,008_U_01,1
001_U_24,001_U_03,1
001_U_24,001_U_08,1
001_U_24,001_U_10,1
001_U_24,001_U_14,2
001_U_24,001_U_15,1
001_U_24,001_U_19,1
001_U_24,001_U_21,2
001_U_24,001_U_22,1
001_U_24,001_U_25,1
001_U_24,001_U_32,1
001_U_24,002_U_01,1
001_U_24,003_U_05,1
001_U_24,003_U_07,1
001_U_24,005_U_18,1
001_U_24,008_U_08,1
001_U_24,017_U_24,2
001_U_24,017_U_37,1
001_U_24,029_U_31,1
001_U_24,031_U_17,1
001_U_25,001_D_06,5
001_U_25,001_U_03,1
001_U_25,001_U_10,1
001_U_25,001_U_12,2
001_U_25,001_U_14,2
001_U_25,001_U_15,8
001_U_25,001_U_19,1
001_U_25,001_U_21,1
001_U_25,001_U_24,3
001_U_25,001_U_26,3
001_U_25,001_U_27,1
001_U_25,001_U_29,3
001_U_25,001_U_30,1
001_U_25,001_U_31,3
001_U_25,001_U_32,2
001_U_25,001_U_34,1
001_U_25,002_U_27,1
001_U_25,003_U_01,1
001_U_25,003_U_05,1
001_U_25,004_U_12,3
001_U_25,004_U_14,4
001_U_25,004_U_15,1
001_U_25,004_U_16,2
001_U_25,004_U_19,3
001_U_25,004_U_27,6
001_U_25,004_U_28,1
001_U_25,005_U_10,1
001_U_25,005_U_21,1
001_U_25,005_U_23,1
001_U_25,005_U_24,2
001_U_25,005_U_25,2
001_U_25,005_U_63,1
001_U_25,005_U_70,1
001_U_25,006_U_38,2
001_U_25,007_U_15,3
001_U_25,009_U_35,1
001_U_25,009_U_43,1
001_U_25,011_U_05,2
001_U_25,012_U_32,1
001_U_25,014_U_05,1
001_U_25,017_U_22,1
001_U_25,017_U_37,3
001_U_25,018_U_35,1
001_U_25,105_U_08,1
001_U_25,105_U_14,2
001_U_25,105_U_30,1
001_U_25,105_U_34,2
001_U_25,105_U_40,1
001_U_26,001_D_04,1
001_U_26,001_D_05,1
001_U_26,001_D_06,5
001_U_26,001_U_03,1
001_U_26,001_U_08,1
001_U_26,001_U_12,1
001_U_26,001_U_14,1
001_U_26,001_U_15,4
001_U_26,001_U_16,1
001_U_26,001_U_21,1
001_U_26,001_U_29,1
001_U_26,001_U_30,1
001_U_26,004_U_14,1
001_U_26,005_U_09,1
001_U_26,005_U_10,1
001_U_26,006_U_38,3
001_U_26,007_U_07,1
001_U_26,007_U_08,1
001_U_26,007_U_15,2
001_U_26,009_U_44,1
001_U_26,012_U_32,1
001_U_27,001_D_02,1
001_U_27,001_U_03,1
001_U_27,001_U_10,5
001_U_27,001_U_13,1
001_U_27,001_U_14,1
001_U_27,001_U_15,2
001_U_27,001_U_19,1
001_U_27,001_U_21,2
001_U_27,001_U_31,1
001_U_27,001_U_33,1
001_U_27,002_U_37,1
001_U_27,003_U_05,1
001_U_27,004_U_07,1
001_U_27,007_U_07,2
001_U_27,009_U_03,1
001_U_27,009_U_33,1
001_U_27,013_U_17,1
001_U_27,015_U_10,1
001_U_27,017_U_19,1
001_U_27,037_U_06,1
001_U_27,107_U_11,1
001_U_27,107_U_12,1
001_U_27,107_U_25,1
001_U_27,107_U_40,1
001_U_28,001_D_08,1
001_U_28,001_U_10,4
001_U_28,001_U_12,1
001_U_28,001_U_15,4
001_U_28,001_U_19,2
001_U_28,001_U_20,1
001_U_28,001_U_21,2
001_U_28,001_U_26,4
001_U_28,001_U_27,1
001_U_28,001_U_33,1
001_U_28,001_U_34,2
001_U_28,002_U_37,1
001_U_28,003_U_06,2
001_U_28,007_U_07,1
001_U_28,008_U_08,1
001_U_28,015_U_06,1
001_U_28,016_U_10,1
001_U_28,023_U_24,1
001_U_28,107_U_25,2
001_U_28,107_U_38,2
001_U_29,001_D_06,1
001_U_29,001_U_03,1
001_U_29,001_U_08,1
001_U_29,001_U_12,3
001_U_29,001_U_13,1
001_U_29,001_U_19,1
001_U_29,001_U_21,2
001_U_29,001_U_23,1
001_U_29,001_U_26,3
001_U_29,001_U_30,1
001_U_29,001_U_31,1
001_U_29,001_U_34,4
001_U_29,008_U_08,1
001_U_29,009_U_32,1
001_U_29,012_U_12,1
001_U_29,015_U_06,2
001_U_29,017_U_20,1
001_U_29,036_U_18,2
001_U_29,107_U_11,1
001_U_29,107_U_38,2
001_U_29,107_U_40,1
001_U_30,001_U_03,1
001_U_30,001_U_13,2
001_U_30,001_U_14,1
001_U_30,001_U_15,5
001_U_30,001_U_17,2
001_U_30,001_U_19,1
001_U_30,001_U_20,1
001_U_30,001_U_21,3
001_U_30,001_U_26,6
001_U_30,001_U_34,1
001_U_30,008_U_08,2
001_U_30,009_U_47,1
001_U_31,001_U_03,1
001_U_31,001_U_04,1
001_U_31,001_U_12,1
001_U_31,001_U_14,4
001_U_31,001_U_15,3
001_U_31,001_U_16,1
001_U_31,001_U_17,1
001_U_31,001_U_21,5
001_U_31,001_U_26,3
001_U_31,001_U_28,1
001_U_31,001_U_29,1
001_U_31,001_U_34,4
001_U_31,037_U_02,1
001_U_32,001_U_04,1
001_U_32,001_U_21,1
001_U_32,001_U_26,1
001_U_32,001_U_33,1
001_U_32,001_U_34,1
001_U_32,015_U_06,1
001_U_33,001_D_05,1
001_U_33,001_U_21,2
001_U_33,001_U_32,1
001_U_33,003_U_07,1
001_U_33,006_U_41,1
001_U_33,009_U_38,1
001_U_33,009_U_44,1
001_U_33,009_U_45,1
001_U_33,010_U_27,1
001_U_33,015_U_02,1
001_U_33,016_U_07,1
001_U_33,028_U_07,1
001_U_34,001_D_02,6
001_U_34,001_D_03,4
001_U_34,001_D_04,14
001_U_34,001_D_05,2
001_U_34,001_D_06,3
001_U_34,001_D_08,4
001_U_34,001_U_04,1
001_U_34,001_U_12,5
001_U_34,001_U_13,2
001_U_34,001_U_15,2
001_U_34,001_U_16,1
001_U_34,001_U_19,2
001_U_34,001_U_21,15
001_U_34,001_U_24,2
001_U_34,001_U_25,2
001_U_34,001_U_26,4
001_U_34,001_U_27,1
001_U_34,001_U_28,2
001_U_34,001_U_29,2
001_U_34,001_U_33,2
001_U_34,003_U_05,3
001_U_34,003_U_06,1
001_U_34,004_U_05,1
001_U_34,005_U_21,1
001_U_34,006_U_06,1
001_U_34,006_U_22,2
001_U_34,006_U_40,1
001_U_34,006_U_44,2
001_U_34,009_U_41,1
001_U_34,009_U_44,4
001_U_34,010_U_31,2
001_U_34,010_U_33,1
001_U_34,010_U_53,1
001_U_34,011_U_10,1
001_U_34,011_U_30,1
001_U_34,011_U_33,1
001_U_34,013_U_11,1
001_U_34,013_U_13,1
001_U_34,016_U_10,7
001_U_34,017_U_16,4
001_U_34,020_U_04,1
001_U_34,021_U_08,1
001_U_34,024_U_02,1
001_U_34,024_U_12,1
001_U_34,028_U_07,1
001_U_34,030_U_24,1
001_U_34,030_U_25,1
001_U_34,030_U_26,1
001_U_34,030_U_35,1
001_U_34,033_U_06,2
001_U_34,033_U_19,1
001_U_34,037_U_06,1
001_U_34,037_U_18,1
001_U_34,101_U_23,6
001_U_34,101_U_24,1
002_U_01,001_U_12,2
002_U_01,001_U_19,1
002_U_01,001_U_23,2
002_U_01,001_U_24,1
002_U_01,002_U_08,1
002_U_01,002_U_09,1
002_U_01,002_U_10,1
002_U_01,002_U_13,1
002_U_01,002_U_25,1
002_U_01,002_U_30,1
002_U_01,002_U_33,1
002_U_01,002_U_39,1
002_U_01,002_U_42,1
002_U_03,002_U_04,1
002_U_03,002_U_10,1
002_U_03,002_U_24,1
002_U_03,002_U_34,1
002_U_05,001_U_24,1
002_U_06,002_U_29,1
002_U_07,001_U_12,1
002_U_07,001_U_22,2
002_U_07,001_U_23,1
002_U_07,002_U_30,1
002_U_07,002_U_37,2
002_U_08,002_U_09,1
002_U_08,002_U_30,2
002_U_08,002_U_31,1
002_U_09,002_U_10,2
002_U_09,002_U_30,1
002_U_09,002_U_32,1
002_U_10,001_U_12,1
002_U_10,002_U_01,1
002_U_10,002_U_28,1
002_U_10,002_U_29,2
002_U_10,002_U_30,1
002_U_10,002_U_32,2
002_U_12,002_U_39,1
002_U_12,002_U_41,1
002_U_13,001_U_19,2
002_U_13,002_U_28,1
002_U_13,002_U_32,1
002_U_13,002_U_35,1
002_U_13,002_U_36,1
002_U_13,002_U_37,1
002_U_14,002_U_09,1
002_U_14,002_U_33,1
002_U_25,001_U_21,3
002_U_25,002_U_14,2
002_U_25,002_U_30,1
002_U_25,002_U_31,2
002_U_26,001_D_04,1
002_U_26,001_D_05,1
002_U_26,001_D_06,1
002_U_26,002_U_30,3
002_U_26,002_U_36,1
002_U_26,002_U_43,2
002_U_26,004_U_27,3
002_U_26,005_U_58,1
002_U_26,006_U_38,1
002_U_26,007_U_07,2
002_U_26,007_U_08,3
002_U_26,007_U_15,1
002_U_26,007_U_18,2
002_U_27,001_D_05,1
002_U_27,002_U_29,1
002_U_27,002_U_30,1
002_U_27,002_U_31,1
002_U_27,002_U_37,2
002_U_27,003_U_05,2
002_U_27,003_U_07,2
002_U_27,007_U_04,1
002_U_27,011_D_37,1
002_U_27,011_U_05,3
002_U_27,017_U_22,1
002_U_27,017_U_25,2
002_U_27,026_U_46,1
002_U_27,026_U_47,1
002_U_27,033_U_19,1
002_U_27,105_U_08,2
002_U_27,105_U_14,3
002_U_28,001_D_05,1
002_U_28,001_U_17,1
002_U_28,002_U_13,1
002_U_28,002_U_27,1
002_U_28,002_U_37,1
002_U_28,003_U_05,1
002_U_28,005_U_65,4
002_U_28,006_U_22,17
002_U_28,007_U_04,2
002_U_28,007_U_05,1
002_U_28,009_U_33,1
002_U_28,009_U_35,1
002_U_28,011_D_37,1
002_U_28,018_U_35,1
002_U_28,021_U_22,1
002_U_28,024_U_15,1
002_U_28,026_U_45,2
002_U_28,026_U_46,2
002_U_28,026_U_47,1
002_U_28,029_U_31,1
002_U_28,033_U_18,1
002_U_28,105_U_08,1
002_U_28,105_U_14,1
002_U_28,105_U_30,1
002_U_28,105_U_34,1
002_U_29,001_U_22,2
002_U_29,002_U_07,1
002_U_29,002_U_13,1
002_U_29,002_U_27,1
002_U_29,002_U_31,3
